0,1,2,3,4,0,1,2,3,4
Netherlands,"Business and Engineering, ICT","Computing, Media Technology",English,Aug - Dec,Netherlands,"Business, Tourism (Erasmus+)","Computing, Media Technology",English,Aug - Dec
Netherlands,"Business, Tourism (Erasmus+)","Computing, Media Technology",English,Aug - Dec,Netherlands,"Business, Engineering; Double Degree IM","Computing, Media Technology",English,Aug - Dec
Netherlands,"Business, Engineering; Double Degree IM","Computing, Media Technology",English,Aug - Dec,New Zealand,"Business, Engineering; Double Degree IM","Computing, Media Technology",English,Aug - Dec
New Zealand,"Business, Engineering; Double Degree IM","Computing, Media Technology",English,Aug - Dec,New Zealand,Business focussed on Logistics,"Computing, Media Technology",English,Aug - Dec
New Zealand,Business focussed on Logistics,"Computing, Media Technology",English,Aug - Dec,Norway,Business focussed on Logistics,"Computing, Media Technology",English,Aug - Dec
Norway,Business focussed on Logistics,"Computing, Media Technology",English,Aug - Dec,Norway,ICT (Campus Grimstad) (Erasmus+),"Computing, Media Technology",English,Aug - Dec
Norway,ICT (Campus Grimstad) (Erasmus+),"Computing, Media Technology",English,Aug - Dec,Peru,"Business, Tourism, Media Technology","Computing, Media Technology",Spanish,Aug - Dec
Peru,"Business, Tourism, Media Technology","Computing, Media Technology",Spanish,Aug - Dec,Poland,Civil Engineering (Erasmus+),"Computing, Media Technology",English,Aug - Dec
Poland,Civil Engineering (Erasmus+),"Computing, Media Technology",English,Aug - Dec,Poland,"Building and Civil Engineering,","Computing, Media Technology",English,Aug - Dec
Poland,"Building and Civil Engineering,","Computing, Media Technology",English,Aug - Dec,Poland,"Business, Economics, Media Technology","Computing, Media Technology",English,Aug - Dec
Poland,"Business, Economics, Media Technology","Computing, Media Technology",English,Aug - Dec,Poland,"Engineering, Business, Tourism,","Computing, Media Technology",English,Aug - Dec
Poland,"Engineering, Business, Tourism,","Computing, Media Technology",English,Aug - Dec,Poland,"Business, Tourism, Economics","Computing, Media Technology",English,Aug - Dec
Poland,"Business, Tourism, Economics","Computing, Media Technology",English,Aug - Dec,Poland,"Business, Engineering (Erasmus+)","Computing, Media Technology",English,Aug - Dec
Poland,"Business, Engineering (Erasmus+)","Computing, Media Technology",English,Aug - Dec,Poland,Business (Erasmus+),"Computing, Media Technology",English,Aug - Dec
Poland,Business (Erasmus+),"Computing, Media Technology",English,Aug - Dec,Poland,"Business, Administration, Law","Computing, Media Technology",English,Aug - Dec
Poland,"Business, Administration, Law","Computing, Media Technology",English,Aug - Dec,Poland,"Business, Administration, Law","Computing, Media Technology","Portuguese,",Aug - Dec
Poland,"Business, Administration, Law","Computing, Media Technology","Portuguese,",Aug - Dec,Portugal,Engineering & Electronics  (Erasmus+),"Computing, Media Technology","Portuguese,",Aug - Dec
